epoch,model,train_accuracy,train_loss,train_top2,train_f1,val_accuracy,val_loss,val_top2,val_f1,epoch_time_sec
1,BaselineCNN,0.1677389705882352,3.540213733682852,0.2558543797953964,0.1515908162843312,0.2525875796178344,3.070259549815184,0.3633558917197452,0.231874994326999,22.808565855026245
2,BaselineCNN,0.297494405370844,2.816704003707222,0.4212156329923274,0.2840047892185336,0.3182722929936306,2.739838261513193,0.4419785031847134,0.3110756578723523,22.51429867744445
3,BaselineCNN,0.36482976342711,2.4901481196093744,0.4973425511508951,0.354689927634913,0.3546974522292994,2.562794032370209,0.4835788216560509,0.34454612064076,20.56494426727295
4,BaselineCNN,0.4133431905370844,2.251812659566055,0.5500719309462916,0.4053810388542536,0.37390525477707,2.491804443347226,0.4988057324840764,0.3678100860570649,21.23897075653076
5,BaselineCNN,0.4574408567774936,2.0619338235586806,0.594309462915601,0.4505999698411947,0.38953025477707,2.422572047847092,0.5233877388535032,0.3828193581415105,21.66645312309265
6,BaselineCNN,0.4943654092071611,1.8994820177402645,0.6313539002557544,0.4883546665905219,0.4022691082802547,2.378516424993041,0.5345342356687898,0.3955938655611499,21.5103702545166
7,BaselineCNN,0.5287723785166241,1.748819447386905,0.6661604859335039,0.5237150288482044,0.397093949044586,2.4426860171518507,0.5276671974522293,0.3916149559780965,21.53618049621582
8,BaselineCNN,0.5548873081841432,1.620369104625624,0.6934742647058824,0.5503241830473731,0.3995820063694267,2.48645356961876,0.5303542993630573,0.3976828996048818,19.01117157936096
9,BaselineCNN,0.5873361572890026,1.4901847125166825,0.7239450127877238,0.5835231141943727,0.3954020700636942,2.547815170257714,0.5313495222929936,0.3915414029336667,18.701128721237183
1,DeeperCNN,0.1420236572890025,3.655643890580863,0.2221067774936061,0.1263553620173543,0.2294984076433121,3.145939442762144,0.3383757961783439,0.2070570006868939,23.684383630752563
2,DeeperCNN,0.2880634590792839,2.8401941993962163,0.41096547314578,0.2755290662225582,0.325139331210191,2.682953119277954,0.4495421974522293,0.3028659411382852,23.64701008796692
3,DeeperCNN,0.3654691496163683,2.45612150796539,0.4980218989769821,0.3560539581348791,0.3699243630573248,2.469383136481996,0.5075636942675159,0.3600132959430083,23.617939949035645
4,DeeperCNN,0.4197770140664961,2.203700510742109,0.5567455242966752,0.4124318445813639,0.391421178343949,2.366774653173556,0.5243829617834395,0.3824319874569369,24.485853910446167
5,DeeperCNN,0.4651734335038363,1.998148601835646,0.6047794117647058,0.459605856118947,0.4094347133757962,2.294402758786633,0.5452826433121019,0.4020951514324977,23.65843963623047
