function,num_particles,alpha1,alpha2,avg_cost,avg_iterations,avg_time_sec,avg_score,delta_to_theoretical_min
mccormick,50,1.5,1.5,5000.0,100.0,0.1194,-1.913223,7.7e-05
mccormick,50,1.5,2.0,5000.0,100.0,0.1231,-1.913223,7.7e-05
mccormick,50,2.0,1.0,5000.0,100.0,0.1201,-1.913223,7.7e-05
mccormick,50,2.0,1.5,5000.0,100.0,0.1145,-1.913223,7.7e-05
mccormick,50,2.0,2.0,5000.0,100.0,0.1264,-1.913223,7.7e-05
mccormick,100,1.0,1.0,10000.0,100.0,0.2726,-1.913223,7.7e-05
mccormick,100,1.0,1.5,10000.0,100.0,0.2184,-1.913223,7.7e-05
mccormick,100,1.0,2.0,10000.0,100.0,0.2377,-1.913223,7.7e-05
mccormick,100,1.5,1.0,10000.0,100.0,0.2206,-1.913223,7.7e-05
mccormick,100,1.5,1.5,10000.0,100.0,0.2172,-1.913223,7.7e-05
mccormick,100,1.5,2.0,10000.0,100.0,0.2165,-1.913223,7.7e-05
mccormick,100,2.0,1.0,10000.0,100.0,0.222,-1.913223,7.7e-05
mccormick,100,2.0,1.5,10000.0,100.0,0.2118,-1.913223,7.7e-05
mccormick,100,2.0,2.0,10000.0,100.0,0.2298,-1.913223,7.7e-05
mccormick,250,1.0,1.0,25000.0,100.0,0.6479,-1.913223,7.7e-05
mccormick,250,1.0,1.5,25000.0,100.0,0.5641,-1.913223,7.7e-05
mccormick,250,1.0,2.0,25000.0,100.0,0.6009,-1.913223,7.7e-05
mccormick,250,1.5,1.0,25000.0,100.0,0.5716,-1.913223,7.7e-05
mccormick,250,1.5,1.5,25000.0,100.0,0.5839,-1.913223,7.7e-05
mccormick,250,1.5,2.0,25000.0,100.0,0.5269,-1.913223,7.7e-05
mccormick,250,2.0,1.0,25000.0,100.0,0.5479,-1.913223,7.7e-05
mccormick,250,2.0,1.5,25000.0,100.0,0.5564,-1.913223,7.7e-05
mccormick,250,2.0,2.0,25000.0,100.0,0.5635,-1.913223,7.7e-05
styblinski_tang,20,1.0,1.0,554.0,27.7,0.0203,-78.332162,0.000182
styblinski_tang,20,1.0,1.5,736.0,36.8,0.0282,-76.918536,1.413444
styblinski_tang,20,1.0,2.0,714.0,35.7,0.0271,-76.918439,1.413541
styblinski_tang,20,1.5,1.0,578.0,28.9,0.0206,-78.332234,0.000254
styblinski_tang,20,1.5,1.5,686.0,34.3,0.0285,-76.918476,1.413504
styblinski_tang,20,1.5,2.0,804.0,40.2,0.0304,-76.918558,1.413422
styblinski_tang,20,2.0,1.0,770.0,38.5,0.0417,-76.918518,1.413462
styblinski_tang,20,2.0,1.5,760.0,38.0,0.0312,-76.918528,1.413452
styblinski_tang,20,2.0,2.0,836.0,41.8,0.0285,-76.918505,1.413475
styblinski_tang,50,1.0,1.0,1210.0,24.2,0.0465,-78.332186,0.000206
styblinski_tang,50,1.0,1.5,1535.0,30.7,0.0559,-76.918498,1.413482
styblinski_tang,50,1.0,2.0,1075.0,21.5,0.0396,-78.332192,0.000212
styblinski_tang,50,1.5,1.0,1290.0,25.8,0.0475,-78.33215,0.00017
styblinski_tang,50,1.5,1.5,1210.0,24.2,0.0462,-78.332166,0.000186
styblinski_tang,50,1.5,2.0,1255.0,25.1,0.0454,-78.332156,0.000176
styblinski_tang,50,2.0,1.0,1415.0,28.3,0.0519,-78.332183,0.000203
styblinski_tang,50,2.0,1.5,1395.0,27.9,0.0512,-78.332211,0.000231
styblinski_tang,50,2.0,2.0,1320.0,26.4,0.042,-78.332177,0.000197
styblinski_tang,100,1.0,1.0,1760.0,17.6,0.0579,-78.332183,0.000203
styblinski_tang,100,1.0,1.5,1800.0,18.0,0.0557,-78.332141,0.000161
styblinski_tang,100,1.0,2.0,1930.0,19.3,0.0585,-78.33208,0.0001
styblinski_tang,100,1.5,1.0,2070.0,20.7,0.0649,-78.332157,0.000177
styblinski_tang,100,1.5,1.5,2060.0,20.6,0.0716,-78.332174,0.000194
styblinski_tang,100,1.5,2.0,2010.0,20.1,0.0618,-78.332153,0.000173
styblinski_tang,100,2.0,1.0,1970.0,19.7,0.0639,-78.332213,0.000233
styblinski_tang,100,2.0,1.5,2090.0,20.9,0.0618,-78.332157,0.000177
styblinski_tang,100,2.0,2.0,2670.0,26.7,0.079,-78.332208,0.000228
styblinski_tang,250,1.0,1.0,3300.0,13.2,0.0985,-78.332143,0.000163
styblinski_tang,250,1.0,1.5,3350.0,13.4,0.1101,-78.332138,0.000158
styblinski_tang,250,1.0,2.0,3650.0,14.6,0.138,-78.332111,0.000131
styblinski_tang,250,1.5,1.0,3625.0,14.5,0.1308,-78.332167,0.000187
styblinski_tang,250,1.5,1.5,4300.0,17.2,0.1552,-78.332165,0.000185
styblinski_tang,250,1.5,2.0,4300.0,17.2,0.1732,-78.332163,0.000183
styblinski_tang,250,2.0,1.0,3700.0,14.8,0.1516,-78.33214,0.00016
styblinski_tang,250,2.0,1.5,4625.0,18.5,0.1658,-78.332164,0.000184
styblinski_tang,250,2.0,2.0,4225.0,16.9,0.1538,-78.33211,0.00013
