generation,individual_idx,lr,dropout,filters,blocks,neurons,val_loss,val_acc,num_epochs
6,1,0.0069757610347919,0.534463319268311,122,5,512,0.7317326473202675,0.7511,10
6,2,0.0015412148557048594,0.43728677925455894,36,5,282,0.5722833564327021,0.806,10
6,3,0.0005221447486623999,0.15879106654213546,128,5,492,0.46062507855284746,0.8454,10
6,4,0.0006720289159284801,0.33919285938802124,113,5,383,0.489873447995277,0.8387,10
6,5,1e-05,0.20539728253109676,28,2,333,1.3079577456614015,0.5415,10
6,6,0.00221684561137992,0.21135807305971985,127,3,64,1.7757619961052185,0.2665,10
6,7,0.01,0.10810926269444687,128,5,512,0.6287598000590209,0.8005,10
6,8,1e-05,0.1,16,1,282,1.4433702230453491,0.4936,10
6,9,0.0012227656508443199,0.24712612390715313,121,3,347,0.6588995458593794,0.7826,10
6,10,0.002503760431336,0.1,128,2,250,1.2022329785261945,0.5804,10
7,1,0.001051767881405184,0.24689654368727948,116,4,512,0.48988220418334766,0.8335,10
7,2,0.003067644341124,0.3395681000205719,122,5,276,0.5553015430641782,0.8169,10
7,3,0.0034071583736811325,0.30125293270783626,128,4,512,0.7423412330970642,0.7628,10
7,4,1e-05,0.30406552327138026,128,3,466,0.9288799720964614,0.6804,10
7,5,0.00174790515577184,0.12851485576496569,116,5,502,0.5180295190423917,0.8273,10
7,6,1e-05,0.24148969974733478,128,3,467,0.8994842687989496,0.6903,10
7,7,0.0006179019311496802,0.4401371160572051,113,4,399,0.5275534720747335,0.8225,10
7,8,1e-05,0.43079936909900146,36,5,282,1.0655864477157593,0.6228,10
7,9,1e-05,0.4871699692909135,113,4,383,0.8310014943408358,0.7095,10
7,10,0.01,0.1,128,5,476,0.6894297711788469,0.7689,10
8,1,1e-05,0.19901022675190008,128,4,512,0.7700377588818788,0.7342,10
8,2,1e-05,0.3020336125446944,116,4,231,0.8218793956337461,0.712,10
8,3,0.009210282023029056,0.1,128,5,512,0.5781706284945178,0.8021,10
8,4,0.01,0.1,128,5,512,0.6900343921533816,0.7672,10
8,5,0.00174790515577184,0.1,128,4,437,0.514958686130062,0.8288,10
8,6,0.0026579285421940804,0.3957840571521365,122,4,149,0.7285844169224903,0.7593,10
8,7,1e-05,0.4331441797637923,124,3,307,0.9440293847375615,0.672,10
8,8,0.009139299008125313,0.26854240289844444,126,5,381,0.6761210798078282,0.7719,10
8,9,1e-05,0.3361950500851858,128,2,347,1.0301677197407766,0.6394,10
8,10,0.00174790515577184,0.12851485576496569,116,5,502,0.4953097518841932,0.8312,10
