generation,individual_idx,lr,dropout,filters,blocks,neurons,val_loss,val_acc,num_epochs
4,7,0.0027602936176632,0.6519382990173008,16,2,64,1.749755100080162,0.3396,5
4,8,1e-05,0.2290610129565912,128,4,334,0.931565386474512,0.6745,5
4,9,0.0032984699453104,0.5296406658991661,89,4,340,0.993946340053704,0.6538,5
4,10,0.0062364284446536,0.1,128,5,512,0.8095132423813935,0.7247,5
5,1,0.0015422005088868,0.1,128,4,467,0.6354419837711723,0.7842,5
5,2,0.0012378728186116,0.1,103,1,297,1.270932682380555,0.5345,5
5,3,0.0068631378853918,0.1,128,5,333,0.9649057342747974,0.6708,5
5,4,0.002503760431336,0.1,127,3,154,0.7471451478399289,0.7451,5
5,5,0.0004544860176889,0.2849713873786153,128,4,512,0.6150340170237669,0.7897,5
5,6,0.0026183102482223,0.2290849893671795,88,2,260,1.2340367842631734,0.5405,5
5,7,0.0028172702091673,0.1177269163074597,22,1,316,1.26937657708575,0.5424,5
5,8,0.0092576841998168,0.2205314236637423,128,5,512,1.3572611208933931,0.493,5
5,9,0.0015422005088868,0.191215749485129,113,5,347,0.6537895904984444,0.7816,5
5,10,0.0024616813950162,0.6031534754874238,73,4,512,0.8841948509216309,0.7038,5
6,1,0.0069757610347919,0.534463319268311,122,5,512,0.7317326473202675,0.7511,10
6,2,0.0015412148557048,0.4372867792545589,36,5,282,0.5722833564327021,0.806,10
6,3,0.0005221447486623,0.1587910665421354,128,5,492,0.4606250785528474,0.8454,10
6,4,0.0006720289159284,0.3391928593880212,113,5,383,0.489873447995277,0.8387,10
6,5,1e-05,0.2053972825310967,28,2,333,1.3079577456614015,0.5415,10
6,6,0.0022168456113799,0.2113580730597198,127,3,64,1.7757619961052185,0.2665,10
6,7,0.01,0.1081092626944468,128,5,512,0.6287598000590209,0.8005,10
6,8,1e-05,0.1,16,1,282,1.4433702230453491,0.4936,10
6,9,0.0012227656508443,0.2471261239071531,121,3,347,0.6588995458593794,0.7826,10
6,10,0.002503760431336,0.1,128,2,250,1.2022329785261945,0.5804,10
7,1,0.0010517678814051,0.2468965436872794,116,4,512,0.4898822041833476,0.8335,10
7,2,0.003067644341124,0.3395681000205719,122,5,276,0.5553015430641782,0.8169,10
7,3,0.0034071583736811,0.3012529327078362,128,4,512,0.7423412330970642,0.7628,10
7,4,1e-05,0.3040655232713802,128,3,466,0.9288799720964614,0.6804,10
7,5,0.0017479051557718,0.1285148557649656,116,5,502,0.5180295190423917,0.8273,10
7,6,1e-05,0.2414896997473347,128,3,467,0.8994842687989496,0.6903,10
7,7,0.0006179019311496,0.4401371160572051,113,4,399,0.5275534720747335,0.8225,10
7,8,1e-05,0.4307993690990014,36,5,282,1.0655864477157593,0.6228,10
7,9,1e-05,0.4871699692909135,113,4,383,0.8310014943408358,0.7095,10
7,10,0.01,0.1,128,5,476,0.6894297711788469,0.7689,10
8,1,1e-05,0.1990102267519,128,4,512,0.7700377588818788,0.7342,10
8,2,1e-05,0.3020336125446944,116,4,231,0.8218793956337461,0.712,10
8,3,0.009210282023029,0.1,128,5,512,0.5781706284945178,0.8021,10
8,4,0.01,0.1,128,5,512,0.6900343921533816,0.7672,10
8,5,0.0017479051557718,0.1,128,4,437,0.514958686130062,0.8288,10
8,6,0.002657928542194,0.3957840571521365,122,4,149,0.7285844169224903,0.7593,10
8,7,1e-05,0.4331441797637923,124,3,307,0.9440293847375616,0.672,10
8,8,0.0091392990081253,0.2685424028984444,126,5,381,0.6761210798078282,0.7719,10
8,9,1e-05,0.3361950500851858,128,2,347,1.0301677197407766,0.6394,10
8,10,0.0017479051557718,0.1285148557649656,116,5,502,0.4953097518841932,0.8312,10
