generation,individual_idx,lr,dropout,filters,blocks,neurons,val_loss,val_acc,num_epochs
5,1,0.0015422005088868,0.1,128,4,467,0.6354419837711723,0.7842,5
4,2,0.0058777849197085,0.2391975913246498,128,5,390,1.1414320548628545,0.6066,5
5,3,0.0068631378853918,0.1,128,5,333,0.9649057342747974,0.6708,5
5,4,0.002503760431336,0.1,127,3,154,0.7471451478399289,0.7451,5
5,5,0.0004544860176889,0.2849713873786153,128,4,512,0.6150340170237669,0.7897,5
4,6,0.0042765414440939,0.4231052462085912,121,5,439,1.165213089839668,0.5891,5
5,7,0.0028172702091673,0.1177269163074597,22,1,316,1.26937657708575,0.5424,5
4,8,1e-05,0.2290610129565912,128,4,334,0.931565386474512,0.6745,5
5,9,0.0015422005088868,0.191215749485129,113,5,347,0.6537895904984444,0.7816,5
4,10,0.0062364284446536,0.1,128,5,512,0.8095132423813935,0.7247,5
