epoch,model,train_accuracy,train_loss,val_accuracy,val_loss,epoch_time_sec
1,CIFAR10_BasicCNN,0.79342,0.6113520908309981,0.8099,0.5504876832673504,39.200613021850586
2,CIFAR10_BasicCNN,0.79908,0.5976272966626965,0.7934,0.5982563205205711,40.46578764915466
3,CIFAR10_BasicCNN,0.8022,0.5880979211510294,0.801,0.579645659703358,42.55851864814758
4,CIFAR10_BasicCNN,0.80624,0.5735902719180602,0.8105,0.5529411195949384,40.530882835388184
